loja,sku,titulo,fabricante,categoria,disponibilidade,preco,url,fabricante_original,peso_g,unidade_peso_extraida,unidades,categoria_quantidade,faixa_peso,preco_por_100g,preco_por_500g,preco_por_unidade
Mambo,2784,Café Torrado e Moído Intenso Santa Mônica 250g,Santa Mônica,Mercearia,Disponivel,43.98,https://www.mambo.com.br/cafe-torrado-e-moido-intenso-santa-monica-250g/p,Santa Mônica,250.0,g,,peso,101g_250g,17.59,87.96,
Mambo,2785,Café Torrado e Moído Single-Origin Colombia Starbucks 250g,Nestlé,Mercearia,Disponivel,52.98,https://www.mambo.com.br/cafe-torrado-e-moido-single-origin-colombia-starbucks-250g/p,Nestlé,250.0,g,,peso,101g_250g,21.19,105.96,
Mambo,2788,Café Torrado e Moído Orgânico Especial Orfeu 250g,Orfeu,Mercearia,Disponivel,48.98,https://www.mambo.com.br/cafe-torrado-e-moido-organico-especial-orfeu-250g/p,Orfeu,250.0,g,,peso,101g_250g,19.59,97.96,
Mambo,2789,Cápsula de Café Caramelo Baggio 50g com 10 Unidades,Baggio,Mercearia,Disponivel,33.98,https://www.mambo.com.br/capsula-de-cafe-caramelo-baggio-50g-com-10-unidades/p,Baggio,50.0,g,10.0,peso,ate_100g,67.96,339.8,3.4
Mambo,2790,Café Torrado e Moído Aromas de Chocolate Trufado Baggio 250g,Baggio,Mercearia,Disponivel,46.49,https://www.mambo.com.br/cafe-torrado-e-moido-aromas-de-chocolate-trufado-baggio-250g/p,Baggio,250.0,g,,peso,101g_250g,18.6,92.98,
Mambo,2791,Cápsula de Café Aromas Chocolate Trufado Baggio 50g com 10 Unidades,Baggio,Mercearia,Disponivel,33.98,https://www.mambo.com.br/capsula-de-cafe-aromas-chocolate-trufado-baggio-50g-com-10-unidades/p,Baggio,50.0,g,10.0,peso,ate_100g,67.96,339.8,3.4
Mambo,2794,Café Torrado e Moído Gourmet Sul de Minas 3 Corações 250g,3 Corações,Mercearia,Disponivel,25.99,https://www.mambo.com.br/cafe-torrado-e-moido-gourmet-sul-de-minas-3-coracoes-250g/p,3 Corações,250.0,g,,peso,101g_250g,10.4,51.98,
Mambo,2795,Cápsula de Café Gourmet Aluminium Expresso Café Toledo 50g com 10 Unidades,Café Toledo,Mercearia,Disponivel,33.99,https://www.mambo.com.br/capsula-de-cafe-gourmet-aluminium-expresso-cafe-toledo-50g-com-10-unidades/p,Café Toledo,50.0,g,10.0,peso,ate_100g,67.98,339.9,3.4
Mambo,2796,Café Torrado e Moído Toledo Vácuo 500g,Café Toledo,Mercearia,Disponivel,49.99,https://www.mambo.com.br/cafe-torrado-e-moido-toledo-vacuo-500g/p,Café Toledo,500.0,g,,peso,251g_500g,10.0,49.99,
Mambo,2798,Cápsula de Café Aromas Vanilla Baggio 50g com 10 Unidades,Baggio,Mercearia,Disponivel,33.98,https://www.mambo.com.br/capsula-de-cafe-aromas-vanilla-baggio-50g-com-10-unidades/p,Baggio,50.0,g,10.0,peso,ate_100g,67.96,339.8,3.4
Mambo,2799,Café em Grãos Espresso Pilão 1kg,Pilão,Mercearia,Disponivel,153.98,https://www.mambo.com.br/cafe-torrado-em-grao-pilao-1kg/p,Pilão,1000.0,kg,,peso,501g_1kg,15.4,76.99,
Mambo,2800,Café em Grãos Bourbon Amarelo Varietais Orfeu 250g,Orfeu,Mercearia,Disponivel,42.98,https://www.mambo.com.br/cafe-em-graos-bourbon-amarelo-varietais-orfeu-250g/p,Orfeu,250.0,g,,peso,101g_250g,17.19,85.96,
Mambo,2801,Café em Grãos Clássico Especial Orfeu 250g,Orfeu,Mercearia,Disponivel,42.98,https://www.mambo.com.br/cafe-em-graos-classico-especial-orfeu-250g/p,Orfeu,250.0,g,,peso,101g_250g,17.19,85.96,
Mambo,2802,Café em Grãos Descafeinado Especial Orfeu 250g,Orfeu,Mercearia,Disponivel,65.49,https://www.mambo.com.br/cafe-em-graos-descafeinado-especial-orfeu-250g/p,Orfeu,250.0,g,,peso,101g_250g,26.2,130.98,
Mambo,2803,Café em Grãos Intenso Especial Orfeu 250g,Orfeu,Mercearia,Disponivel,42.98,https://www.mambo.com.br/cafe-em-graos-intenso-especial-orfeu-250g/p,Orfeu,250.0,g,,peso,101g_250g,17.19,85.96,
Mambo,2805,Café em Grãos Orgânico Especial Orfeu 250g,Orfeu,Mercearia,Disponivel,48.98,https://www.mambo.com.br/cafe-em-graos-organico-especial-orfeu-250g/p,Orfeu,250.0,g,,peso,101g_250g,19.59,97.96,
Mambo,2807,Café Torrado e Moído Tradicional a Vácuo 3 Corações 250g,3 Corações,Mercearia,Disponivel,25.98,https://www.mambo.com.br/cafe-tradicional-a-vacuo-3-coracoes-250g/p,3 Corações,250.0,g,,peso,101g_250g,10.39,51.96,
Mambo,2809,Café Torrado e Moído Tradicional a Vácuo Café do Ponto 500g,Café do Ponto,Mercearia,Disponivel,55.98,https://www.mambo.com.br/cafe-tradicional-a-vacuo-cafe-do-ponto-500g/p,Café do Ponto,500.0,g,,peso,251g_500g,11.2,55.98,
Mambo,2811,Café Torrado e Moído Tradicional a Vácuo Melitta 500g,Melitta,Mercearia,Disponivel,31.99,https://www.mambo.com.br/cafe-torrado-e-moido-tradicional-a-vacuo-melitta-500g/p,Melitta,500.0,g,,peso,251g_500g,6.4,31.99,
Mambo,2812,Café Torrado e Moído Tradicional a Vácuo Pilão 250g,Pilão,Mercearia,Disponivel,26.49,https://www.mambo.com.br/cafe-torrado-e-moido-tradicional-a-vacuo-pilao-250g/p,Pilão,250.0,g,,peso,101g_250g,10.6,52.98,
Mambo,2813,Café Torrado e Moído Tradicional a Vácuo Pilão 500g,Pilão,Mercearia,Disponivel,39.98,https://www.mambo.com.br/cafe-torrado-e-moido-tradicional-a-vacuo-pilao-500g/p,Pilão,500.0,g,,peso,251g_500g,8.0,39.98,
Mambo,2814,Café Torrado e Moído Tradicional Abre & Fecha Pilão 250g,Pilão,Mercearia,Disponivel,26.98,https://www.mambo.com.br/cafe-torrado-e-moido-tradicional-abre---fecha-pilao-250g/p,Pilão,250.0,g,,peso,101g_250g,10.79,53.96,
Mambo,2815,Café Torrado e Moído Tradicional Abre & Fecha Pilão 500g,Pilão,Mercearia,Disponivel,43.49,https://www.mambo.com.br/cafe-torrado-e-moido-tradicional-abre---fecha-pilao-500g/p,Pilão,500.0,g,,peso,251g_500g,8.7,43.49,
Mambo,2816,Café Torrado e Moído Tradicional 3 Corações 250g,3 Corações,Mercearia,Disponivel,25.98,https://www.mambo.com.br/cafe-torrado-e-moido-tradicional-3-coracoes-250g/p,3 Corações,250.0,g,,peso,101g_250g,10.39,51.96,
Mambo,2817,Café Torrado e Moído Tradicional 3 Corações 500g,3 Corações,Mercearia,Disponivel,27.99,https://www.mambo.com.br/cafe-torrado-e-moido-tradicional-3-coracoes-500g/p,3 Corações,500.0,g,,peso,251g_500g,5.6,27.99,
Mambo,2819,Café Torrado e Moído Tradicional Caboclo 500g,Caboclo,Mercearia,Disponivel,35.98,https://www.mambo.com.br/cafe-torrado-e-moido-tradicional-caboclo-500g/p,Caboclo,500.0,g,,peso,251g_500g,7.2,35.98,
Mambo,2820,Café Torrado e Moído Tradicional Floresta 500g,Cafe Floresta,Mercearia,Disponivel,34.98,https://www.mambo.com.br/cafe-tradicional-almofada-floresta-500g/p,Cafe Floresta,500.0,g,,peso,251g_500g,7.0,34.98,
