loja,produtos,produtos_com_peso,cobertura_peso_pct,preco_mediano,preco_500g_mediano,preco_100g_mediano,preco_unidade_mediano
Mambo,456,436,95.61,29.9,99.9,19.98,2.55
PaodeAcucar,319,306,95.92,27.99,112.38,22.48,2.7
St Marche,282,204,72.34,31.99,99.86,19.97,2.95
