Titulo,Fabricante,preco,loja,tipo_produto,quantidade_unidades,peso_gramas,faixa_peso,preco_100g,preco_500g,preco_unidade
Café Torrado e Moído Forza Intensidade Máxima 3 Corações Premium Pacote 250g,3 Corações,27.99,Paodeacucar,tradicional,,250.0,101g_250g,11.196,55.98,
Café Torrado e Moído Chocolate Trufado Baggio Pacote 250g,Baggio,39.99,Paodeacucar,tradicional,,250.0,101g_250g,15.996,79.98,
Café Pó Moído 125g Classico Filtro,Illy,21.99,Paodeacucar,tradicional,,125.0,101g_250g,17.592,87.96,
Café Solúvel em Pó Espresso Equilibrado Nescafé Gold Lata 100g,Nescafé Gold,35.19,Paodeacucar,soluvel,,100.0,ate_100g,35.19,175.95,
Café Gourmet Moído - 250g,Santa Monica,39.99,Paodeacucar,tradicional,,250.0,101g_250g,15.996,79.98,
Café em Cápsula Torrado e Moído Starbucks Breakfast Blend Caixa 56g 10 Unidades,Starbucks,75.9,Paodeacucar,capsula,10.0,56.0,ate_100g,135.5357,677.6786,7.59
Café Torrado em Grãos Santa Monica Gourmet Pacote 250g,Santa Monica,39.99,Paodeacucar,graos,,250.0,101g_250g,15.996,79.98,
Café Torrado e Moído Santa Monica Gourmet Premium Pacote 500g,Santa Monica,48.99,Paodeacucar,tradicional,,500.0,251g_500g,9.798,48.99,
Café Torrado e Moído Santa Monica Gourmet Torra Italiana Pacote 500g,Santa Monica,51.9,Paodeacucar,tradicional,,500.0,251g_500g,10.38,51.9,
Café em Cápsula Torrado e Moído Lungo Andes Nescafé Farmers Origins Caixa 44g 10 Unidades,Nescafé,27.99,Paodeacucar,capsula,10.0,44.0,ate_100g,63.6136,318.0682,2.799
Café Solúvel Gelado Nescafé Vidro 100g,Nescafé,24.79,Paodeacucar,soluvel,,100.0,ate_100g,24.79,123.95,
Café União Gourmet Sul De Minas 250g,União,26.99,Paodeacucar,outros,,250.0,101g_250g,10.796,53.98,
Café União Gourmet Cerrado Mineiro 250g,União,26.99,Paodeacucar,outros,,250.0,101g_250g,10.796,53.98,
Café União Torrado e Moído Gourmet Mogiana Paulista 250g,União,26.99,Paodeacucar,tradicional,,250.0,101g_250g,10.796,53.98,
Café Solúvel Liofilizado L'or Ultimo Vidro 84g,L'OR,20.14,Paodeacucar,soluvel,,84.0,ate_100g,23.9762,119.881,
Café Solúvel Granulado Extraforte Nescafé Original Sachê 40g,Nescafé,7.91,Paodeacucar,soluvel,,40.0,ate_100g,19.775,98.875,
Café em Cápsula Torrado e Moído Forte Espresso Illy Caixa 57g 10 Unidades,Illy,28.99,Paodeacucar,capsula,10.0,57.0,ate_100g,50.8596,254.2982,2.899
Café Orgânico Moído - 250g,Santa Monica,39.99,Paodeacucar,tradicional,,250.0,101g_250g,15.996,79.98,
